Title,Text,Source,URL
Devolução sobretaxa de IRS: O que disse Passos Coelho na campanha eleitoral,"Num almoço comício da coligação PSD/CDS-PP em Guimarães, Pedro Passos Coelho, (…) dirigiu-se aos contribuintes que “fizeram realmente um esforço muito grande”, e referiu-se à sobretaxa de IRS. “Assumimos este compromisso: se a receita fiscal no IVA e no IRS ficar acima do que nós projectamos, então tudo o que vier a mais será devolvido aos contribuintes.
E sabemos hoje que estamos em condições em 2016 de cumprir essa norma do Orçamento e que eles irão receber uma parte importante dessa sobretaxa“, afirmou. [JN, 27/09/2015]
Preto no branco, foi uma promessa eleitoral.
Portanto, ó sr. Paulo Núncio e sr.ª Cecília Meireles, olhem que ainda vos caem os dentes com a mentira descarada quando afirmam o contrário.
Ouvir ao minuto 10:00
Veja o video aqui",Aventar,https://arquivo.pt/wayback/20160128103542mp_/http://www.lusopt.com/portugal/2871-devolucao-sobretaxa-de-irs-o-que-disse-passos-coelho-na-campanha-eleitoral
Toda A Verdade Sobre A TROIKA,"DOMINGOS FREITAS DO AMARAL (jornalista e escritor)
Já leram o memorando da troika?
Sim, é a minha pergunta de hoje: já leram o memorando de entendimento com a troika, assinado por Portugal em Maio de 2011?
Eu li, e em pé de página deixo o link para quem o quiser consultar, na sua tradução oficial. São 35 páginas, escritas num português desagradável e tecnocrático, que têm servido a este governo para justificar tudo.
Ainda ontem, com descaramento, um dirigente do PSD dizia que ""este não era o Orçamento do PSD, mas sim da troika""! Ai sim? Então eu proponho a todos um breve exercício de leitura. Tentem descobrir, lendo o memorando, onde é que lá estão escritas as 4 medidas fundamentais pelas quais este governo vai entrar para história de Portugal!
Sim, tentem descobrir onde é que lá está escrito que se deve lançar uma sobretaxa no subsídio de Natal de todos os portugueses (decidida e executada em 2011); cortar os subsídios aos funcionários públicos e pensionistas (decidido e executado em 2012); alterar as contribuições para a TSU (anunciada e depois retirada em Setembro); ou mexer nas taxas e nos escalões do IRS, incluindo nova sobretaxa (anunciados no Orçamento para 2013), e definidos pelo próprio ministro das Finanças como ""um aumento enorme de impostos""?
Sim, tentem descobrir onde estão escritas estas 4 nefastas medidas e verão que não estão lá, em lado nenhum. Ao contrário do que este Governo proclama, estas 4 medidas, as mais graves que o Governo tomou, não estão escritas no ""memorando com a troika""! Portugal nunca se comprometeu com os seus credores a tomar estas 4 medidas! Elas foram, única e exclusivamente, ""iniciativas"" do Governo de Passos Coelho, que julgava atingir com elas certos objectivos, esses sim acordados com a ""troika"".
Porém, com as suas disparatadas soluções em 2011 e 2012, o Governo em vez de melhorar a situação piorou-a. Além de subir o IVA para vários sectores chave, ao lançar a sobretaxa e ao retirar os subsídios, o Governo expandiu a crise económica, e acabou com menos receita fiscal e um deficit maior do que tinha. Isto foi pura incompetência, e não o corolário de um ""memorando de entendimento"" onde não havia uma única linha que impusesse estes caminhos específicos!
Mais grave ainda, o Governo de Passos e Gaspar, sem querer admitir a sua incúria, quer agora obrigar o país a engolir goela abaixo ""um enorme aumento de impostos"", dizendo que ele foi imposto pela ""troika"".
Importa-se de repetir, senhor Gaspar? É capaz de me dizer onde é que está escrito no ""memorando de entendimento""
que em 2013 o IRS tem de subir 30 por cento, em média, para pagar a sua inépcia e a sua incompetência?
Era bom que os portugueses aprendessem a não se deixar manipular desta forma primária. Foram as decisões erradas deste Governo que, por mais bem intencionadas que fossem, cavaram ainda mais o buraco onde já estávamos metidos. E estes senhores agora, para 2013, ainda querem cavar mais fundo o buraco, tentando de caminho deitar as culpas para a ""troika""?
Só me lembro da célebre frase de Luís Filipe Scolari: ""e o burro sou eu?""
Para ler o memorando vá a:
http://www.portugal.gov.pt/media/371372/mou_pt_20110517.pdf",n/a,https://arquivo.pt/wayback/20160121125859mp_/http://lusopt.com/portugal/465-toda-a-verdade-sobre-a-troika
Juiz decide que Sócrates sai em liberdade,"Hoje, Juiz Carlos Alexandre decide que ex-Primeiro Ministro deixa prisão de Évora.
O antigo governante ficará em prisão domiciliária mas ""sem vigilância electrónica"", afirmou em comunicado a procuradoria-geral da República.
A medida de coação de José Sócrates foi revista para prisão domiciliária, confirmou o DN junto de fonte judicial. A TVI adianta que pelas 20:00 o arguido da Operação Marquês já estava a caminho de Lisboa.
Detido a 21 de novembro último, no aeroporto de Lisboa, o antigo primeiro-ministro era o único dos nove arguidos desta investigação que ainda se encontrava em prisão preventiva.
A PGR emitiu um comunicado entretanto confirmando que ""na sequência da promoção do Ministério Público, o Tribunal Central de Instrução Criminal determinou que o arguido fique sujeito à obrigação de permanência na habitação (sem sujeição a vigilância electrónica), bem como à proibição de contactos, designadamente com outros arguidos no processo"".
""O Ministério Público promoveu a alteração da medida de coação, por considerar que, face à prova reunida desde a última reapreciação, se mostra reforçada a consolidação dos indícios, o que diminui o perigo de perturbação do inquérito. Neste período foram ouvidas cerca de dez pessoas e realizadas mais de 30 diligências de buscas"", lê-se no mesmo comunicado. O qual adianta também que o inquérito continua sob segredo de justiça.
Sócrates está indiciado por fraude fiscal qualificada, branqueamento de capitais e corrupção passiva para ato ilícito. A sua medida de coação já tinha sido revista para detenção domiciliária com vigilância eletrónica, a 8 de junho, mas o arguido recusou que lhe fosse aplicado esse dispositivo, pelo que se manteve no Estabelecimento Prisional de Évora onde se manteve até hoje.
Fonte DN
O ex-primeiro-ministro vai deixar de estar detido no Estabelecimento Prisional de Évora. Sócrates ficará em prisão domiciliária, sem vigilância electrónica mas sim sob vigilância policial. A consolidação dos indícios justifica a decisão.
O ex-primeiro-ministro, José Sócrates, vai deixar de estar detido no Estabelecimento Prisional de Évora. O principal arguido da designada Operação Marquês vai aguardar julgamento em casa.  
""No âmbito do inquérito relativo à denominada ‘Operação Marquês’, o Ministério Público foi, hoje, notificado da decisão judicial de alteração das medidas de coacção aplicadas ao arguido José Sócrates"", indica um comunicado da Procuradoria-Geral da República, publicado esta sexta-feira, 4 de Setembro, confirmando uma notícia avançada inicialmente pela CMTV.
O Ministério Público tinha feito já a proposta de alterar a medida de coacção para prisão domiciliária, o que foi aceite pelo juiz Carlos Alexandre, que lidera o processo: ""O Tribunal Central de Instrução Criminal determinou que o arguido fique sujeito à obrigação de permanência na habitação (sem sujeição a vigilância electrónica), bem como à proibição de contactos, designadamente com outros arguidos no processo"".
Foi a 21 de Novembro de 2014 que o ex-primeiro-ministro foi detido no âmbito da Operação Marquês, em que foi constituído arguido. Sócrates tinha visto, desde aí, ser-lhe aplicada a mais gravosa das medidas de coacção (que são restritivas da liberdade do arguido), a prisão preventiva. Agora, é-lhe aplicada a obrigação de permanência na habitação. Encontrava-se detido no Estabelecimento Prisional de Évora desde Novembro e fica, agora, sujeito à segunda medida de coacção mais gravosa, além de também não poder fazer contactos com um leque de personalidades. 
Sócrates ficará em prisão domiciliária, com vigilância policial, já que não estará sujeito a pulseira electrónica. É uma medida de coacção como a que foi decidida relativamente a Ricardo Salgado, no âmbito dos inquéritos denominados Universo Espírito Santo. 
Menor risco de perturbação de inquérito
""O Ministério Público promoveu a alteração da medida de coacção, por considerar que, face à prova reunida desde a última reapreciação, se mostra reforçada a consolidação dos indícios, o que diminui o perigo de perturbação do inquérito"", assinala ainda o comunicado, explicando o motivo pelo qual Sócrates deixa de estar detido num estabelecimento prisional. 
Ao longo deste período, ""foram ouvidas cerca de dez pessoas e realizadas mais de 30 diligências de buscas"", adianta ainda a nota enviada pela PGR, em que é dito que o processo continua ainda sujeito a segredo de justiça. 
José Sócrates vê a alteração da medida de coacção a um mês das eleições legislativas, que se irão realizar a 4 de Outubro.
Sócrates tinha já rejeitado pulseira
Sócrates ficará em casa sem necessitar de pulseira electrónica, ao contrário do arguido no mesmo processo, seu amigo, Carlos Santos Silva, e também de Armando Vara, que estão sujeitos à medida de coacção de obrigatoriedade de permanência na habituação ""mediante vigilância electrónica"".
A 9 de Junho, o MP tinha já apontado para a prisão domiciliária, mas com pulseira electrónica, uma medida que carece, sempre, de autorização do arguido. ""José Sócrates não deu o consentimento à aplicação da vigilância electrónica, consentimento que, nos termos da lei, é obrigatório"", indicou, então, a PGR.
O perigo de perturbação de inquérito era a razão apontada para que houvesse vigilância electrónica a 9 de Junho: ""O Ministério Público entende subsistir, nesta fase da investigação, de forma significativa, o perigo de perturbação do inquérito - de perturbação da recolha e da conservação da prova - mantendo-se também, ainda que de forma mais diminuta, o perigo de fuga. Estes perigos poderiam ser acautelados com a substituição da prisão preventiva pelas medidas de coacção de obrigação de permanência na habitação somada à proibição de contactos com os outros intervenientes processuais, desde que o respectivo cumprimento fosse fiscalizado através de vigilância eletrónica"". 
Agora, a 4 de Setembro, com um menor perigo de perturbação do inquérito, conforme admite a PGR, o ex-primeiro-ministro socialista passa a estar sob prisão domiciliária, mas com vigilância de polícias. 
Suspeitas da prática dos crimes de corrupção passiva para acto ilícito, fraude fiscal qualificada e branqueamento de capitais são aquelas que José Sócrates enfrenta. 
 
(Notícia actualizada com mais informações às 20h20)",JNegócios,https://arquivo.pt/wayback/20160128150411mp_/http://lusopt.com/portugal/1780-juiz-decide-que-socrates-sai-em-liberdade
Fingiu rapto por recear patrões,"Uma noitada no Porto não acabou da melhor maneira para um operário da construção civil de uma empresa de Vila Nova de Gaia. Segundo a direcgtoria do Norte da Polícia Judiciária, o homem de 26 anos foi encontrado em cima de uma rocha no meio do Douro, amarrado, depois de ter mandado uma mensagem de telemóvel a um colega de trabalho a dizer que tinha sido raptado. Mas afinal tudo parece não ter passado de uma laboriosa encenação para escapar ao trabalho depois de uma noite mal dormida. O alegado sequestro foi simplesmente um alibi para enganar os patrões.
“As diligências de investigação realizadas permitiram esclarecer, sem qualquer dúvida, que a pretensa vítima simulou a privação da liberdade após ter passado a noite em bares e boates com diversas companhias femininas e, por ter receio da reacção da entidade patronal, decidiu simular a privação da liberdade”, refere a Judiciária em comunicado.
Segundo as autoridades, pela a informação inicial comunicada tudo apontava para “um sequestro em execução, em que a vítima estaria amarrada de pés e mãos a uma árvore numa das margens do rio Douro”.Perante tais dados, foram mobilizados “significativos recursos humanos logísticos, incluindo o apoio da Polícia Marítima”. Montados numa lancha, os agentes acabaram por localizar o “alegado sequestrado numa rocha, em cima do rio Douro, num local recôndito, e acesso extremamente difícil, só possível de aceder pela via fluvial quando a maré está na fase preia-mar”.
O operário confirmou aos inspectores a versão da história que tinha comunicado horas antes ao colega: os raptores tinham-no ali deixado sozinho, e havia ali passado a noite manietado - embora tivesse conseguido utilizar o telemóvel. O que vieram depois a descobrir os inspectores é que afinal tinha chegado à rocha pelo seu próprio pé, quando a maré estava vazia, e que ficara aflito à medida que via as águas subirem, por não saber nadar. ""Por não saber nadar, não sabia como escapar da situação que criara”, refere o comunicado da Judiciária.
Tudo se passou na primeira sexta-feira deste mês. O imaginativo operário foi constituído arguido, estando indiciado por simulação de crime, que constitui igualmente crime. 
O inquérito foi remetido ao Departamento de Investigação e Acção Penal de Vila Nova de Gaia para “efeitos da respectiva tramitação processual”.",Publico.pt,https://arquivo.pt/wayback/20160121163250mp_/http://lusopt.com/portugal/2488-fingiu-rapto-por-recear-patroes
Assembleia da República gasta praticamente 30 euros por dia só em água engarrafada,"O ajuste directo foi feito no passado mês de Setembro e vai permitir à Assembleia da República gastar cerca de 30EUR por dia em água engarrafada durante um ano.
Em plena crise, o Parlamento continua a gastar um valor desnecessário em garrafas de água.
Segundo o Centro de Informação ao Cidadão e Relações Públicas, em resposta a um pedido do nosso órgão de comunicação social, “o fornecimento de água engarrafada foi adjudicado no passado mês de setembro, à empresa BECOSA DIRECTO- Comércio de Produtos Alimentares Lda., na sequência de procedimento por ajuste direto, no qual foram consultadas três empresas”.
No entanto, no site BASE, que lista todos os ajustes directos, não encontramos qualquer registo pela empresa BECOSA DIRECTO- Comércio de Produtos Alimentares Lda. ou com o NIF 506884457.
O mesmo departamento afirma ainda que “o critério de adjudicação foi o do mais baixo preço, tendo o contrato sido celebrado a 3 de outubro do ano passado, por um valor estimado de € 7.785,98/ano (valor mensal de 650€, o que para uma média de 22 dias úteis por mês é inferior a 30€ por dia)”.
Este contrato não é recente, uma vez que “o mencionado contrato tinha um período de vigência de um ano, com possibilidade de duas renovações, tendo a primeira já ocorrido para 2013/2014”.
Estas garrafas de água são distribuídas em plenários e comissões parlamentares.
Em 2012, segundo um documento da SIC, existiam 12 comissões parlamentares e 30 deputados por comissão. Cada comissão dura em média 4 horas onde os 30 deputados de cada uma das comissões consomem 2 garrafas de 0.33cl. Existem 4 reuniões por mês em cada comissão, ou seja no total 48 reuniões por mês em todas as comissões.
O Tugaleaks recorda que o ordenado mínimo nacional situa-se num valor inferior a 500EUR e que, com o contrato actual, o valor mensal de águas na AR é superior a este valor.",TugaLeaks,https://arquivo.pt/wayback/20160121133400mp_/http://lusopt.com/portugal/219-assembleia-da-republica-gasta-praticamente-30-euros-por-dia-so-em-agua-engarrafada
SOLIDARIEDADE À BOA MANEIRA PORTUGUESA!,"“A Câmara Municipal de Lisboa que como todos nós sabemos é uma das câmaras mais ricas do País (faz inveja à Câmara de New York) com um superavit muito acima dos 500 milhões de euros em 2014 fruto da gestão brilhante de António Costa, vai disponibilizar 2 milhões de euros, alojamentos temporários, e alimentação aos refugiados.
A Câmara de Penela também com um superavit fabuloso, embora menor, disponibiliza apartamentos T3 mobilizados a famílias numerosas, da Síria e do Sudão. Isto é solidariedade meus amigos! Coitadinha desta gente. Há que ajudar sem olhar a meios!
Claro que isto só é possível fazer-se porque Portugal é um país riquissímo – não sei mesmo se o Dubai nos chega aos calcanhares – não tem um único pobre nem mesmo um único necessitado. Grandes políticos os nossos sim senhor. Acho que nos devemos orgulhar de todos eles sem excepção. Acho mesmo que devem ser todos candidatos a um Nobel qualquer.
Claro que os 43 milhões de euros que o nosso país vai receber da UE para os refugiados não têm nada a ver com estas contas. Isto é apenas solidariedade camarária. A propósito e a título de informação desses 43 milhões de euros os 1.700 refugiados vão receber – além de formação profissional paga – um subsídio de 500 euros por adulto e 300 euros por cada criança até aos 16 anos. Contas feitas um casal com 3 filhos adultos recebe 2.500 euros por mês, formação profissional paga, casa mobilada e com electricidade, água e gás incluído (possivelmente internet e um portátil para as horas vagas) isto tudo numa gentil oferta da UE durante um ano.
Porém, e agora uma pergunta incómoda porque como todos sabemos não há almoços grátis. Daqui por um ano quem vai bancar o ‘guito’ para esta malta toda?
Optei por ilustrar este post com uma fotografia de uma das mulheres mais ricas de Portugal a almoçar laudamente numa das melhores esplanadas da capital. Não é todos os dias que os Portugueses conseguem almoçar assim. Arrisco-me a dizer que até fiquei com inveja de tamanha opulência!
Senhores políticos, as vossas mãezinhas nunca lhes ensinaram que a solidariedade começa em casa? Que os “nossos” estão e estarão sempre primeiro? E que sobrando, se sobrar, então sim vamos lá ajudar!
Esquecem-se que Portugal tem neste momento cerca de 2 milhões de pobres? Esquecem-se que Portugal tem mais de 120.000 crianças que sofrem com falta de comida? O que vocês mereciam era que estes 2 milhões vos entrassem casa dentro e vos saqueassem tudo e vos deixassem a todos em pelota!”
AUTOR DESCONHECIDO
Mais de cinco mil pessoas sem abrigo em Portugal
Pelo menos 4.420 pessoas viveram em jardins, estações de metro ou camionagem, paragens de autocarro, estacionamentos, passeios, viadutos, pontes e abrigos de emergência de Portugal em 2013. Esse é o número de pessoas acompanhadas no âmbito da Estratégia Nacional para a Integração das Pessoas em Situação de Sem-Abrigo, coordenada pelo Instituto de Segurança Social.
​
Não espelha o fenómeno na sua totalidade. Nela não entram muitos dos que vivem em prédios devolutos, tão pouco os sem-tecto no concelho de Lisboa, onde a Santa Casa da Misericórdia assume o lugar do Estado. Na capital, a 12 de Dezembro, mais de 800 voluntários contabilizaram 852 sem-tecto no município – 509 na rua.
Para o presidente da União das Misericórdias Portuguesas, Manuel Lemos, estes números são significativos, mas pecam por defeito. “Em Lisboa, por exemplo, o número de pessoas a viver na rua duplicou ou triplicou nos últimos dois anos. Penso que são bem mais de 850“, acredita. Os números agora conhecidos significam, pelo menos, um avanço no conhecimento desta realidade.
O Censos 2011 dava conta de 696 pessoas em situação de sem-abrigo no território nacional: 241 em Lisboa, 218 na região Norte, 113 no Algarve, 66 no Centro do país, 25 no Alentejo, 22 na Madeira e 11 nos Açores.
Move-se muito quem não tem poiso. Alguns tratavam de despistar quem andava a fazer os inquéritos. A Estratégia Nacional, em vigor até 2015, tem uma base local. Por lei, Núcleos de Planeamento e Intervenção Sem-Abrigo (NPISA) devem ser criados sempre que a dimensão do fenómeno o justifique. Agregam, então, todos os grupos – formais ou informais – que desejam trabalhar de forma articulada.
Já foram 17, agora são 14 os núcleos investidos da missão de garantir que ninguém está mais de 24 horas na rua a menos que essa seja a sua vontade: Almada, Amadora, Aveiro, Braga, Cascais, Coimbra, Faro, Figueira da Foz, Lisboa, Oeiras, Porto, Seixal, Setúbal e Vila Nova de Gaia. Os outros terão perdido razão de existir.
Realidade pouco estática
Segundo explica o Instituto, por email, “há ampla uniformidade entre as várias bases de dados criadas por cada um dos NPISA, o que permite obter, periodicamente, dados sobre o número e perfil de pessoas sem-abrigo identificadas, apoiadas e acompanhadas pelos 14 NPISA existentes”.
Atendendo à ausência do município da capital, não admira que nesta contagem o distrito do Porto (31%) ultrapasse o de Lisboa (18%). Destacam-se ainda Faro (11%) e Setúbal (9%). Noutros quatro, o fenómeno permanece significativo: Aveiro, Braga, Coimbra e Leiria, com 4% cada um.
A realidade está longe de ser estática. Há sempre gente a sair e a entrar nestas bases de dados. As equipas preocupam-se mais com os casos mais recentes. Prestam também atenção particular a quem recaiu. Por vezes, parecem desistir dos que, num quadro de saúde mental, não cumprem o que lhes é pedido.
O presidente da Cruz Vermelha Portuguesa (CVP), Luís Barbosa, compreende que haja esta diferenciação, porque, sublinha, “trata-se de realidades diferentes”. Defende que é necessário distinguir dois grandes grupos de sem-abrigo e adoptar medidas diferenciadas: os que, devido a problemas de alcoolismo, toxicodependência ou patologias mentais, caíram na rua e habituaram-se a viver desse modo, e os que foram conduzidos à rua na sequência de situações graves de desemprego que os levaram a perder a habitação. “Se o primeiro grupo constitui uma população mais ou menos permanente, o segundo não está preparado para viver na rua e tem vergonha de pedir ajuda”, constata Luís Barbosa.
São estes últimos que lhe causam mais preocupação, incentivando-os a procurarem ajuda nas instituições e na Segurança Social. “Temos sido contactados pela própria Segurança Social para encontrar uma solução transitória para estas pessoas, o que nem sempre tem sido fácil“, reconhece o presidente da Cruz Vermelha, que teme que o desespero desta famílias leve alguns dos seus membros a praticar actos radicais.
Sobre o primeiro grupo, fala de um projecto recente da CVP em Braga destinado a preparar alguns destes sem-abrigos para a reentrada no mercado de trabalho. “Tem sido uma experiência muito positiva a reconversão destas pessoas“, sublinha.
Fonte: www.be-a-woman.com",n/a,https://arquivo.pt/wayback/20160121154931mp_/http://lusopt.com/portugal/2542-solidariedade-a-boa-maneira-portuguesa
Seis banqueiros portugueses receberam um milhão de euros,"A EBA divulgou hoje um relatório que indica quantos trabalhadores dos bancos europeus auferiram em 2012 pelo menos um milhão de euros, incluindo salários, bónus, prémios e contribuição para a pensão, a partir dos dados recolhidos em cada país pelas autoridades nacionais.
Segundo a EBA, em 2012, seis banqueiros portugueses tiveram rendimentos de pelo menos um milhão de euros: três da banca de retalho e três de outros ramos da atividade bancária.
Os primeiros receberam, no total, 1,438 milhões de euros em remuneração fixa, dois milhões em remuneração variável e 695 mil euros em remuneração variável diferida, a que se somam ainda 995 mil euros de benefícios para pensão.
Assim, em média, cada um destes banqueiros recebeu 1,147 milhões de euros em 2012. A remuneração foi ainda mais alta nos banqueiros de outras áreas do sector bancário: 1,577 milhões de euros cada um, em média.
A maior fatia dos rendimentos destes banqueiros veio da remuneração fixa, de 3,563 milhões de euros. Em remuneração variável o valor ascendeu a 2,336 milhões de euros, dos quais 1,168 milhões de euros em diferida.
Entre os países com maior número de trabalhadores de bancos que receberam mais de um milhão de euros em 2012 estão Reino Unido, com 2714, Alemanha (212), França (177) e Espanha (100).
No final de Setembro deste ano, o Banco de Portugal enviou uma instrução aos bancos para saber quantos funcionários das oito principais instituições -- à Caixa Geral de Depósitos (CGD), ao BPI, ao BES, ao BCP, ao Santander Totta, ao Crédito Agrícola, ao Montepio Geral e ao Banif - ganham mais de um milhão de euros por ano.",Economico,https://arquivo.pt/wayback/20160121133733mp_/http://lusopt.com/portugal/228-seis-banqueiros-portugueses-receberam-um-milhao-de-euros
Portugal é um País LAICO?,"
O que consiste um Estado Laico (separação da igreja do estado):
A separação Igreja-Estado é uma doutrina política e legal que estabelece que o governo e as instituições religiosas devem ser mantidos separados e independentes uns dos outros. A expressão se refere mais frequentemente a combinação de dois princípios: secularismo do governo e liberdade religiosa. Um estado laico apenas rejeita a influência da Igreja na esfera pública do Estado, pois considera que os assuntos religiosos só devem pertencem à esfera privada de cada indivíduo.
Muito bem, vamos lá então ver se somos ou não um estado Laico:
Os padres têm mais direitos que um cidadão comum, não pagam imposto automóvel, recebem vencimento, recebem por fazer missas, por fazer funerais, por batizados, por casamentos.....
As associações religiosas, como a Santa Casa da Mesericórdia, estão com grande influência no estado, em forma de lares, hospitais, jogos (são os únicos que podem fazer e controlar jogos de dinheiro).
Os bispos, hoje em dia, já falam na TV sobre o País, sobre o governo, sobre o que as pessoas devem ou não fazer...ou seja, influênciam dentro da propria igreja..
O batismo ainda hoje tem uma enorme influência em muitos lugares, principalmente em lugares do estado...
Nas forças armadas, o capelão é quase que obrigatório.
Nas escolas, ainda existe a Religião e Moral, claro que hoje em dia, é para quem quer....mas não deixam de ter a sua influência.
Se quiser construir um edificio, exemplo numa aldeia, não poderá em altura, ser superior à igreja da terra...
Bem, ainda poderá haver mais algo a acrescentar, espero que o leitor traga mais umas palavrinhas....será que trás?",n/a,https://arquivo.pt/wayback/20160128112312mp_/http://lusopt.com/portugal/1850-portugal-e-um-pais-laico
O subcomissário da PSP Filipe Silva suspenso por 3 meses,"
O subcomissário da PSP Filipe Silva, que agrediu um adepto do Benfica junto ao Estádio D. Afonso Henriques, em Guimarães, foi suspenso “preventivamente” da polícia por um período de 90 dias. A decisão foi revelada esta tarde pelo Ministério da Administração Interna, que divulgou a conclusão do relatório final da investigação conduzida pela Inspeção-Geral da Administração Interna (IGAI).
Num comunicado, o gabinete da ministra Anabela Rodrigues adianta que, “com base nas diligências instrutórias realizadas e atendendo aos elementos probatórios apurados”, foi decidido instaurar um processo disciplinar ao subcomissário, sendo-lhe aplicada uma suspensão preventiva de 90 dias.
Filipe Silva agrediu um adepto do Benfica a 17 de Maio, em Guimarães, quando estava a fazer um serviço gratificado junto ao estádio D. Afonso Henriques. Na altura, o oficial da PSP foi alvo de três processos: um inquérito disciplinar, conduzido pela PSP, e um processo de averiguações da IGAI, além de um inquérito aberto pelo Ministério Público por “suspeitas da prática do crime de abuso de poder durante a actuação policial”.",IOnline.pt,https://arquivo.pt/wayback/20160128141658mp_/http://lusopt.com/portugal/2131-o-subcomissario-da-psp-filipe-silva-suspenso-por-3-meses
Atitude vergonhosa de José Rodrigues dos Santos,"Maria do Rosário Gama é dirigente da APRe! (associação de Aposentados, pensionistas e reformados) e apoiante de Sampaio da Nóvoa. Não gostou da forma como José Rodrigues dos Santos conduziu o debate entre o candidato presidencial que apoia e Henrique Neto e fez seguir queixas para a ERC e para o provedor do espectador na RTP. Agora, pede nas redes sociais que outros apoiantes de Nóvoa lhe sigam o exemplo.
Para Rosário Gama, ""o comportamento indigno de José Rodrigues dos Santos mancha a informação da televisão pública, paga por todos os contribuintes”, pelo que decidiu não só fazer as queixas como as publicar numa das páginas de apoiantes de Nóvoa, partilhando o texto que enviou à ERC e ao provedor e exortando outros a seguirem-lhe o exemplo.
No Facebook, a socialista afirma que “já foram muitas as vezes em que mostrou o seu verdadeiro caráter, sendo uma das mais recentes o episódio vergonhoso como insultou o deputado Alexandre Quintanilha num telejornal”, que acha que a forma como o jornalista moderou o debate entre Nóvoa e Henrique Neto prejudicou o ex-reitor.
“Recentemente, nos dois debates que ‘moderou’ tendo em vista as Presidenciais, voltou a ter um comportamento indigno, quer tentando confrontar o candidato Sampaio da Nóvoa com os lideres dos governos anteriores, pergunta armadilhada para tentar obter a resposta que lhe convinha, quer na forma abrupta como concluiu, sem permitir o contraditório de Sampaio da Nóvoa às afirmações de Henrique Neto a seu respeito, o que constituiu um dos momentos mais indignos da televisão pública em tempos recentes”, acusa Rosário Gama no texto que enviou à ERC e ao provedor da RTP.
Na queixa, a dirigente da APRe! considera ainda que a forma como foi conduzido o frente-a-frente fez com que o debate não cumprisse a sua função de esclarecimento. “A função destes debates deveria ser o de esclarecer os eleitores sobre o que cada candidato pensa ser o papel do Presidente da República no futuro do país e não transformar os debates em interrogatórios inquisitoriais que mais não servem senão para afastar os cidadãos da política, contribuindo assim para a abstenção"", escreve Rosário Gama.",SOL,https://arquivo.pt/wayback/20160128145727mp_/http://lusopt.com/portugal/2916-atitude-vergonhosa-de-jose-rodrigues-dos-santos
