Text,Source,URL
"""Policia Francesa encontra equipe responsavel de esconder as cedulas que elegeriam Mariane Le Pen. CONFIRMADA FRAUDE para eleger MACRON.""","— Utilizador do Facebook,     13 maio 2022",https://observador.pt/factchecks/fact-check-boletins-de-voto-em-le-pen-foram-escondidos-para-evitar-a-vitoria/
"""Matou a enteada de cinco anos e está livre. Matou pai e mãe e está livre. Matou o assassino do filho e está preso. Exemplo da lei que temos""","— Utilizador do Facebook,     11 maio 2020",https://observador.pt/factchecks/fact-check-fotografia-mostra-mulheres-portuguesas-que-mataram-familiares-e-que-estao-livres/
Este rapaz chama-se Tiago Santos e é natural de Torre de Moncorvo. Tem 19 anos e representou Portugal nas olimpíadas de física quântica tendo ficado em segundo lugar. Se fosse um jogador de futebol todos partilhavam mas assim ninguém quer saber!,"— Utilizador do Facebook,     25 junho 2018",https://observador.pt/factchecks/fact-check-fotografia-mostra-jovem-que-ficou-em-segundo-lugar-nas-olimpiadas-de-fisica-quantica/
"""Há 40 anos que faço pesquisas com vírus e animais. Não é natural. Foi fabricado e o vírus é completamente artificial.""","— Utilizador do Facebook,     26 abril 2020",https://observador.pt/factchecks/fact-check-premio-nobel-da-medicina-disse-que-novo-coronavirus-nao-era-natural-e-que-foi-fabricado-pela-china/
"""França aprova aborto até aos nove meses de gestação""","— Utilizador do Facebook,     12 agosto 2020",https://observador.pt/factchecks/fact-check-franca-legalizou-aborto-ate-ao-final-da-gravidez/
"""A maioria dos que tomaram a vacina da Covid-19 está morta no ano 2025. Agora sabemos os seguintes factos""","— Utilizador de Facebook,     14 junho 2021",https://observador.pt/factchecks/fact-check-estudo-cientifico-revela-que-maioria-das-pessoas-vacinada-contra-a-covid-19-vai-estar-morta-em-2025/
"""Bill Gates tem mandado de prisão nas Filipinas por homicídio premeditado""","— Utilizador de Facebook,     03 março 2023",https://observador.pt/factchecks/fact-check-tribunal-filipino-emitiu-mandado-de-detencao-em-nome-de-bill-gates-por-homicidio-premeditado/
"Quando há capacidade instalada, uma turma na escola pública não custa isso [80.500 euros], custa bastante menos. Custa cerca de 54.000.","— Alexandra Leitão,  secretária de Estado adjunta da Educação,   em entrevista à TVI24  05 maio 2016",https://observador.pt/factchecks/poupar-26-mil-euros-turma-transferida-publico-pouco-provavel/
"""Quem não tenha telemóvel, não consegue obter o certificado de vacinação e por isso vê o acesso vedado aos locais onde é exigível.""","— Utilizador do Facebook,     30 julho 2021",https://observador.pt/factchecks/fact-check-sem-telemovel-nao-e-possivel-obter-um-certificado-digital/
"""Obrigado a todos pelos votos de confiança. Não foi dessa vez. Paciência. Apesar de várias divergências, nesse segundo turno apoiarei o Bolsonaro contra a volta de toda a roubalheira do PT e sua quadrilha""","— Utilizador de Facebook,    Citação atribuída a Ciro Gomes  04 outubro 2022",https://observador.pt/factchecks/fact-check-candidato-derrotado-tweetou-apoio-a-bolsonaro-na-vespera-de-o-seu-partido-declarar-apoio-a-lula-para-a-2a-volta/
