Title,Text,Source,URL
"
Motas vão ter inspeção obrigatória a partir de 1 de janeiro de 2024

","
A partir de 1 de janeiro também os motociclos passam a ser obrigados a inspeções periódicas à semelhança do que já acontece com os restantes veículos.
As novas regras foram divulgadas, esta sexta-feira, 5 de maio, em Diário da República. O Ministério das Infraestruturas transpõe a diretiva delegada, de 9 de julho de 2021, da Comissão Europeia e atualiza o decreto-lei n.º144/2012, de 11 de julho de 2012, publicado pelo Executivo PSD/PP, liderado por Passos Coelho.

“A obrigatoriedade de inspeções periódicas a motociclos, triciclos e quadriciclos, bem como a reboques e semirreboques referidos no n.º 3.1 do anexo i ao presente diploma produz efeitos a partir do dia 1 de janeiro de 2024”, pode ler-se no documento.
Assim, os motociclos, os triciclos e os quadriciclos (que incluem moto-quatros e pequenas viaturas de quatro rodas) com mais de 125 cc terão de ir à primeira inspeção “cinco anos após a data da primeira matrícula”. A partir daí, a avaliação será bianual, isto é, de “dois em dois anos”, acrescenta.
Apenas os veículos com motor de combustão (ou seja, a gasolina ou a gasóleo) é que serão submetidos a inspeções obrigatórias, excluindo, assim, os veículos elétricos.
A medida já não é nova e estava prevista desde 2012, de acordo com um decreto-lei aprovado pelo Governo de Passos Coelho. Os centros de inspeção adaptaram-se, mas a medida nunca avançou — apesar das várias promessas ao longo dos anos.

",executivedigest.sapo.pt,http://www.semanarioextra.com/motas-vao-ter-inspecao-obrigatoria-a-partir-de-1-de-janeiro-de-2024/
"
O calor está a chegar e vem em força! Termómetros vão subir…e muito!

","
Temperaturas de verão chegam já a partir de hoje, e as previsões para o fim de semana apontam para temperaturas bem acima dos 30 graus nalgumas zonas do país.
O Instituto Português do Mar e da Atmosfera (IPMA) prevê uma subida das temperaturas hoje, sendo que é previsível que se atinjam os 30 graus em quase todo o país.

Depois de uma subida acentuada no dia de hoje, espera-se que as temperaturas baixem ligeiramente, ainda assim bem acima do habitual para esta época do ano. O IPMA prevê temperaturas para a próxima semana a rondar os 25º, em Lisboa. 

",n/a,http://www.semanarioextra.com/o-calor-esta-a-chegar-e-vem-em-forca-termometros-vao-subir-e-muito/
"
Mulher recebe 40 mil euros de indemnização após marido ter acidente que o deixou com disfunção erétil

","
O despiste de um carro abalroou o condutor de uma mota na N101 entre Guimarães e Braga, e provocou graves danos ao motociclista, que já recebeu uma indemnização de 280 mil euros.
Agora o Tribunal da Relação de Guimarães decidiu atribuir uma indemnização de 40 mil euros à mulher do condutor, uma vez que o acidente deixou o homem com disfunção erétil. A mulher tinha pedido para ser compensada porque a condição do marido não lhe permite “ter relações sexuais naturais e expontâneas, só lhe sendo possível ter relações sexuais fazendo uma injeção intracavernosa com prostaglandina”, diz o acórdão do Tribunal, o qual foi consultado pelo JN.

O Tribunal da Relação de Guimarães desceu o valor da indemnização a ser paga pela seguradora – inicialmente de 50 mil euros – montante definido pelo Tribunal de Braga, e fixou a compensação em 40 mil euros.
O acórdão refere ainda que o Tribunal decidiu atribuir a indemnização à mulher porque o homem “passou a ser acometido de um sentimento de ciúme em relação à sua mulher, o que se traduz em discussões, o que lhe causa a ela um grande desgosto e sofrimento”, escreve o JN. 

",cmjornal.pt,http://www.semanarioextra.com/mulher-recebe-40-mil-euros-de-indemnizacao-apos-marido-ter-acidente-que-o-deixou-com-disfuncao-eretil/
"
Jovem polaca que acredita ser Maddie já recebeu o resultado do teste de ADN

","
Julia Wendell, a jovem polaca que disse acreditar ser Maddie McCann, já recebeu os resultados do teste de ADN, que revelam que ela não é a jovem britânica desaparecida no Algarve em 2007.
“O teste de ADN não revelou quaisquer raízes britânicas e alemãs”, escreveu Fia Johansson, médium e assessora de Julia no Instagram, o teste diz que é “100% polaca”, acrescentou.

A médium revela agora que, depois de receber os resultados do teste de ADN, Julia decidiu abandonar os EUA e voltar para o pai.

",cmjornal.pt,http://www.semanarioextra.com/jovem-polaca-que-acredita-ser-maddie-ja-recebeu-o-resultado-do-teste-de-adn/
"
Marc Márquez não aguenta “pressão” e abandona o Moto GP

","
A notícia foi dada pelo piloto nas redes sociais de forma totalmente inesperada. O mundo do motociclismo ficou incrédulo com a decisão do piloto.
Marc Márquez afirma já não reunir condições para continuar no desporto, e agradeceu à família e aos fãs todo o apoio que lhe deram ao longo destes anos.

O piloto português Miguel Oliveira já reagiu à decisão de Marc Márquez: “apenas posso desejar que ele se meta no ca…lho antes que o ca…lho se meta nele, e desejar um excelente dia das mentiras a todos“.

Nota: Este é um artigo de carácter humorístico/satírico com o objectivo de fazer rir. A informação aqui veiculada não corresponde à realidade. Qualquer semelhança com a realidade é mera coincidência.

",JN,http://www.semanarioextra.com/marc-marquez-nao-aguenta-pressao-e-abandona-o-moto-gp/
"
Mulher que casou consigo mesma pede o divórcio no dia seguinte: “Já não me aguento mais”

","
Uma mulher que terá casado com ela própria pediu o divórcio, depois de passar apenas um dia na companhia da mesma. Avança o “Independent” que Sofi Maure terá anunciado o casamento em fevereiro, quando partilhou nas redes sociais fotografias onde aparecia com um longo véu branco e uma tiara de ouro.
A jovem de 25 anos – com mais de 500 mil seguidores nas redes sociais – disse que tinha comprado um vestido de noiva e feito um bolo para celebrar o “grande dia”.

“Hoje é um dos dias mais importantes da minha vida. Comprei um vestido de noiva e cozinhei um bolo para me casar”, disse Sofi Maure, e teve muito apoio de alguns dos seus seguidores, enquanto que outros a acusaram de apenas querer “chamar a atenção”.
Apesar do apoio na sua decisão, Sofi começou a questionar o compromisso passado apenas um dia da cerimónia, e avançou que o divórcio estava iminente.
“Estou casada comigo mesma e já não me aguento mais, estou a ver como é faço com a questão do divórcio. Só para me prevenir”, revelou.

",cmjornal.pt,http://www.semanarioextra.com/mulher-que-casou-consigo-mesma-pede-o-divorcio-no-dia-seguinte-ja-nao-me-aguento-mais/
"
Noiva fica chocada ao ver o noivo ser amamentado pela mãe no dia do casamento

","
No dia do seu casamento, uma mulher britânica encontrou o noivo e futuro marido a ser amamentado pela mãe, avança a imprensa. O caso passou-se no Reino Unido.
Citado pelo Daily Mail, o organizador de eventos – que estava na cerimónia no Podcast Unfiltered Bride (Noiva sem Filtros) – disse que: “a noiva entrou na casa de banho e viu o suficiente para terminar a relação”.

Ao deparar-se com a situação a mulher pensou que o futuro marido a estava a trair, e só depois percebeu que era a futura sogra que estava a amamentá-lo. Apesar do choque, a mulher decidiu avançar com a cerimónia.
Ficou por esclarecer há quanto tempo é que o noivo estaria a ser amamentado.

",cmjornal.pt,http://www.semanarioextra.com/noiva-fica-chocada-ao-ver-o-noivo-ser-amamentado-pela-mae-no-dia-do-casamento/
"
Portugueses são os campeões do sexo no carro, revela estudo

","
Uma pesquisa recente colocou Portugal no topo do ranking do “prazer automóvel”. Segundo o estudo, os portugueses são os que mais praticam sexo no carro em todo o mundo!
Os resultados da pesquisa foram divulgados pela prestigiada revista científica “Journal of Car-Sexology”, que realizou entrevistas a mais de cinco mil indivíduos de diferentes nacionalidades.

De acordo com os dados apurados, 95% dos portugueses já tiveram relações sexuais dentro de um carro. Um número bem superior a países como Espanha (88%), França (82%) e Reino Unido (71%), por exemplo.
O mesmo estudo concluiu ainda que 71% das vezes que os portugueses tiveram relações sexuais dentro de um carro, revelaram ter sido com alguém que não o marido/mulher, ou namorado(a).

Nota: Este é um artigo de carácter humorístico/satírico com o objectivo de fazer rir. A informação aqui veiculada não corresponde à realidade. Qualquer semelhança com a realidade é mera coincidência.

",loles.pt,http://www.semanarioextra.com/portugueses-sao-os-campeoes-do-sexo-no-carro-revela-estudo/
"
Advogado de Kathryn Mayorga condenado a pagar indemnização milionária a CR7

","
A justiça americana deu razão a Cristiano Ronaldo no caso de Kathryn Mayorga e Leslie Mark Stovall, e o advogado acabou mesmo por ser condenado a pagar mais de 300.000 euros ao craque português.
O valor, avança a imprensa, corresponde aos honorários que o avançado português pagou para se defender. Recorde-se que o tribunal de Las Vegas deu razão a Cristiano Ronaldo e acabou por arquivar o pedido de indemnização de Kathryn Mayorga.

Agora, uma juiza federal, considerou que Ronaldo foi prejudicado pela conduta do advogado.

",n/a,http://www.semanarioextra.com/advogado-de-kathryn-mayorga-condenado-a-pagar-indemnizacao-milionaria-a-cr7/
"
Cantor português sofre aparatoso acidente de viação

","
Miguel Azevedo – cantor e ex-concorrente do programa de televisão Big Brother Famosos – sofreu um acidente de carro, e a viatura foi parar à sucata.
O cantor utilizou as redes sociais para informar os fãs que tinha sofrido um acidente de carro e que a viatura ficou completamente destruída, disse ainda que não tinha sofrido ferimentos.

“Nada é certo, hoje temos, amanhã já não, aproveitem cada minuto com quem mais amam, a vida são dois dias. Obrigado a todos pelo carinho, está tudo bem”, escreveu na publicação, onde mostra o estado em que ficou o carro.

",cmjornal.pt,http://www.semanarioextra.com/cantor-portugues-sofre-aparatoso-acidente-de-viacao/
