Title,Text,Source,URL
Marcelo recusou Mercedes de 150 mil euros. Costa aceitou a viatura.,"O Presidente da República voltou a quebrar o protocolo, que dita que o novo Chefe de Estado de aceitar uma viatura oferecida pelo seu antecessor.
O programa ‘Sexta às Nove’ da RTP revelou, ontem à noite, que António Costa tem ao seu dispor uma viatura cujo valor de mercado é, no mínimo, de 150 mil euros.
Segundo a investigação dos jornalistas da RTP, a viatura foi adquirida por Aníbal Cavaco Silva no final do seu mandato para ser oferecida a Marcelo Rebelo de Sousa. A tradição manda que ao novo Presidente seja oferecida uma viatura nova pelo seu antecessor. E como Cavaco havia decidido ficar com a viatura que esteve ao seu serviço durante 10 anos, o ex-Chefe de Estado comprou um novo carro.
Contudo, Marcelo Rebelo de Sousa mostrou, mais uma vez, que não liga a protocolos e recusou fazer-se deslocar no Mercedes S500 por considerar que o mesmo é excessivamente caro.
“O novo Presidente, no entanto, não pretendeu usar esse carro e preferiu utilizar um veículo de gama mais baixa, um Mercedes série E 220”, disse à RTP fonte da Presidência da República.
A secretaria-geral da Presidência da República viu-se então a braços com um carro topo de gama novo fechado numa garagem. A primeira escolha foi oferecê-lo a Jorge Sampaio, o Presidente que antecedeu Cavaco Silva, mas também este a recusou “por entender que a gama e características do referido veículo eram excessivas e, por isso, desadequadas para a sua qualidade de ex-Presidente”, explicou a assessora do socialista.
Perante este cenário sobrou uma opção: doar a viatura à Presidência do Conselho de Ministros. O carro tem agora uso, depois de ter estado durante quase quatro meses fechado numa garagem.
“O carro foi doado a 27 de junho à Presidência do Conselho de Ministros sem qualquer custo. Só pode ser usado pelo primeiro-ministro ou por altas entidades que se desloquem ao país”, disse à RTP o assessor de António Costa.
Ainda segundo a televisão pública, o primeiro-ministro já usou a viatura duas vezes e, questionado sobre a mesma, recusou prestar declarações.",Notícias ao Minuto,https://www.tuga.press/marcelo-recusou-mercedes-150-mil-euros-costa-aceitou-viatura/
Marcelo condecora homem que mudou a sede da empresa para fugir ao fisco,"Alexandre Soares dos Santos transferiu a sede fiscal para a Holanda no início de 2012. Como resultado, apenas nesse ano pagou menos 349,2 milhões de IRC em pleno programa de austeridade e cortes nos serviços públicos.
Nos primeiros nove meses da sua presidência, Marcelo Rebelo de Sousa distribuiu 145 condecorações a diferentes entidades, um recorde (link is external) a que agora se junta uma medalha a Alexandre Soares dos Santos, o dono da rede Pingo Doce que deslocou a sede fiscal para a Holanda em 2012.
Ainda em fevereiro deste ano, Marcelo Rebelo de Sousa afirmava que a fuga de milhares de milhões para paraísos fiscais “merece ser investigada”. No entanto, o grupo Jerónimo Martins é dos que mais tem recorrido a planeamento fiscal e beneficiado de normas orçamentais extraordinárias para fugir à sua responsabilidade para com a sociedade.
Apenas em 2012, a Sociedade Francisco Manuel dos Santos SGPS recebeu 79,9 milhões de euros em benefícios fiscais, um valor superado apenas por uma instituição fora da esfera do setor privado, a Santa Casa da Misericórdia de Lisboa que recebeu 118,2 milhões.
Ou seja, em pleno programa de austeridade com cortes transversais nos serviços públicos, o IRC pago relativo ao ano de 2012 recuou para 887,9 milhões de euros, menos 349,2 milhões do que em 2011.
Nada disto deteve o Presidente da República de enaltecer Soares dos Santos: “O ser empresário nos dias de hoje significa capacidade de liderança, visão prospetiva, definição estratégica mas, mais que isso, responsabilidade social”, afirmou Marcelo Rebelo de Sousa, que falava no Palácio de Belém na cerimónia onde condecorou Soares dos Santos com a Grã-Cruz da Ordem do Mérito Empresarial.
O chefe de Estado valorizou o papel da Fundação Francisco Manuel dos Santos, a que Soares dos Santos preside, e destacou também a Fundação Oceano Azul, também por este liderada e à qual o anterior executivo PSD/CDS-PP atribuiu em Julho de 2015 a concessão do Oceanário de Lisboa por um período de 30 anos.
“Esta aventura do estudo, pesquisa dos oceanos, constitui a última fronteira de um sonho que tem muito a ver com o ser-se empresário e servir o país”, continuou Marcelo de Sousa.
A Ordem do Mérito Empresarial destina-se a distinguir “quem haja prestado, como empresário ou trabalhador, serviços relevantes no fomento ou na valorização de um sector económico”.
Numa curta intervenção, Alexandre Soares dos Santos disse que como “bom cristão” gosta de “ajudar os outros” sempre que pode, e, ladeado pela família mais próxima, garantiu a Marcelo: “Pode sempre contar connosco, senhor Presidente”.
O empresário esteve até 2013 à frente da Jerónimo Martins, proprietária, por exemplo, do Pingo Doce.",Esquerda.net,https://www.tuga.press/marcelo-condecora-homem-mudou-sede-da-empresa-fugir-ao-fisco/
As políticas de António Costa não são assim tão diferentes das de Passos Coelho,"Antes de deixar Berlim, Marcelo Rebelo de Sousa deu uma entrevista ao Die Welt. As palavras foram de equilíbrio governativo e estabilidade.
As diferenças entre o caminho traçado pelo atual governo e pelo de Passos Coelho, afinal, não são assim tão grandes.
A ideia foi deixada por Marcelo Rebelo de Sousa, que em visita a Berlim, deu uma entrevista ao jornal alemão Die Welt.
“O programa [de António Costa] não está assim tão longe do que o anterior governo conservador traçou”, disse o Presidente da República, em Berlim, assumindo que esta similaridade só tem uma razão: “a realidade é como é”. Até “podemos sonhar em mudar a UE um dia, mas apenas quando os equilíbrios forem outros”.
Apostado em serenar os ânimos da Alemanha em torno do Governo português, Marcelo sublinha que “o compromisso e a vontade de apoiar o governo foram muito mais fortes do que os ideais”, que afastavam os vários partidos da coligação em matérias como a NATO, “a atitude crítica da União Europeia” e a “medição dos défices”. Admite, assim, que “as pessoas previam que era impossível os socialistas e os partidos da esquerda adoptarem um programa de governo”, mas lembra que “até agora foi tudo feito”.
E, apesar de a Oposição profetizar a queda “hoje ou amanhã” do governo, para o Presidente a estabilidade parece manter-se: “Eu não tenho tanta certeza disso”, disse. O Presidente da República aproveitou também para salientar que a aplicação de sanções a Portugal é “injusto”, lembrando que o governo anterior fez o possível para Portugal recuperar a sua economia.
“Fez tudo o que estava ao seu alcance para cumprir as obrigações. E tinham um trabalho muito difícil, há que valorizar a enorme evolução conseguida”. No entanto, lembrou “a enorme dívida” que é fruto de uma passagem de uma economia fechada por um período de 40 anos e que, à boleia das iniciativas europeias, apostou no investimento público. “Isso custou dinheiro”.
O Presidente da República repara ainda que atualmente, com “tantos problemas como refugiados, migrações e a proposta para o Reino Unido deixar o grupo, a UE não se pode dar ao luxo de perder um segundo” com problemas que afinal eram uma ameaça em 2010 e 2011, mas podem já não o ser atualmente.
E, relativamente às migrações, Marcelo não deixa dúvidas: “Quando se tem como um milhão de pessoas a exercer pressão sobre a Grécia, Turquia e Itália, todos os dias, se essa é a realidade, então tem de se encontrar uma resposta europeia comum”. Marcelo aproveitou ainda para, nesta matéria, elogiar Angela Merkel por ter percebido o problema e “o novo desafio para a Europa” e para agradecer ao país por ter ajudado a manter a democracia nacional.",Dinheiro Vivo,https://www.tuga.press/as-politicas-antonio-costa-nao-sao-tao-diferentes-das-passos-coelho/
“Onda terrorista” organizada na origem dos incêndios em Portugal,"O presidente da Liga dos Bombeiros, Jaime Marta Soares, considera que há uma “onda terrorista devidamente organizada” que provoca incêndios florestais.
Depois de uma audiência com o Presidente da República, Marcelo Rebelo de Sousa, Jaime Marta Soares não classifica de incompetência política o tempo em que foi feito pelo Governo o pedido de ajuda dos meios aéreos, mas admite ter sido “um erro estratégico”.
Sobre o que diz ser uma “onda terrorista” que provoca os incêndios florestais, o presidente da Liga considera impossível haver ignições de fogo com uma frente tão vasta como as que se têm verificado nestes últimos fogos na zona norte e centro do país e Madeira.
Marta Soares lembrou que 98% dos fogos florestais têm mão humana e que desses 75% serão de origem criminosa.",JN,https://www.tuga.press/onda-terrorista-organizada-na-origem-dos-incendios-portugal/
Ele é o melhor treinador de futebol do mundo do ano 2019… e é Português,"Não é o Mourinho, mas ainda assim é Português.
O futebol é um dos três “F” de Portugal (Futebol, Fado e Fátima) e um pouco por todo o país, todos vibram com isto.
Não é por isso surpresa que tenhamos bons jogadores a dar cartas lá fora como o Ronaldo e bons treinadores que já tiveram os seus momentos de glória como o Mourinho.
Mas, de acordo com a Federação Internacional de História e Estatística do futebol, o melhor treinador de futebol é… Fernando Santos.
Em 2016 o mesmo treinador já tinha tido este resultado, que voltou a dobrar este ano.
“No comando técnico da selecção portuguesa, Fernando Santos conquistou em 2019 a Liga das Nações da UEFA e, não obstante a concorrência do brasileiro Tite e do espanhol Roberto Martinez, seleccionadores do Brasil e da Bélgica, respectivamente, foi o mais votado por especialistas do futebol e por jornalistas de 90 países de todos os continentes do mundo. Fernando Santos recebeu 112 pontos, mais 10 do que Tite, mais 15 do que Roberto Martinez e mais 25 do que o vencedor do ano passado, o seleccionador francês Didier Deschamps”, escreveu o Publico.
Fernando Santos vai passar a ser, ao mesmo tempo que o alemão Joachim Low o segundo treinador mais premiado com dois troféus. À frente deles está apenas Vicente Del Bosque, com quatro troféus.",n/a,https://www.tuga.press/ele-e-o-melhor-treinador-de-futebol-do-mundo-do-ano-2019-e-e-portugues/
"Homem de 65 anos agredia os pais, que faleceram. O juiz deu-lhe uma “pena impossível” de cumprir.","Chama-se Fernando Ribeiro tem 65 anos e agrediu os pais. Saiu com pena suspensa.
O caso chegou a tribunal foi julgado, tendo sido condenado por maus tratos e mais tarde a três anos de prisão por pena suspensa.
No entanto o Tribunal aplicou-lhe também outro pena: ficou obrigado a frequentar um programa de prevenção da violência doméstica. Acontece que este programa é aplicado em violência que existe entre conjugues, e não entre outro tipo de familiares.
Foi condenado em abril de 2018, no mesmo mês em que o pai faleceu. Poucos meses depois, em junho, falece a mãe. Mas só em setembro a Direção-Geral de Reinserção e Serviços Prisionais (DGRSP) informou o tribunal que a pena que pretendiam aplicar era “impossível” de aplicar.
Parece uma anedota? Pode parecer… mas ainda há pior.
A defesa de Fernando Ribeiro contestou a alteração da pena e recorreu dessa decisão, argumentando estar “esgotado o poder jurisdicional do tribunal da condenação/primeira instância com o trânsito em julgado da sentença”. Ou seja, como já tinha sido passada uma sentença, não podia passar outra só porque se enganou.
O Tribunal da relação veio entretanto negar este pedido, pelo que, agora com a pena “corrigida”, mas já com os seus pais falecidos, vai frequentar “entrevistas que estivessem direcionadas para a problemática da violência doméstica, e que tivesse ainda acompanhamento psicoterapêutico especializado”, de acordo com a ZAP.",n/a,https://www.tuga.press/homem-de-65-anos-agredia-os-pais-que-faleceram-o-juiz-deu-lhe-uma-pena-impossivel-de-cumprir/
42 mil milhões de euros: Nunca se cobraram tantos impostos em Portugal como em 2017,"Em dezembro, a receita fiscal aumentou 1.937 milhões de euros face ao ano anterior, cerca de 5%. Ao nível global, pela primeira vez foi ultrapassada a barreira dos 42 mil milhões de euros.
O Estado cobrou mais de 42 mil milhões de euros em impostos no ano passado, um aumento de 4,8%. A receita fiscal aumentou 1.937 milhões de euros, numa evolução explicada pelo desempenho favorável da receita dos impostos indirectos (mais 6%), de acordo com a síntese da execução orçamental até dezembro divulgada esta quinta-feira pela Direção-Geral do Orçamento (DGO).
“A receita fiscal evidenciou um crescimento superior ao previsto no OE/2017 (3%) e ligeiramente acima (6,4 milhões de euros) da recente revisão da estimativa constante da
Proposta de OE/2018, a qual previa um crescimento homólogo de 4,8%. Este resultado de 42.180 milhões de euros de receita fiscal, refletiu, maioritariamente, a aceleração da atividade económica a um ritmo superior ao esperado”, avança a DGO.
Os impostos diretos aumentaram 3,3% para 18,3 mil milhões de euros, com a maior fatia a vir do IRS (12,2 mil milhões) ainda que a receita deste imposto tenha estagnado no ano passado. Já a receita do IRC totalizou os 5,7 mil milhões de euros, mais 519 milhões de euros face ao período homólogo.
Segundo a DGO, o aumento dos impostos diretos deve-se essencialmente ao desempenho da receita de IRC (mais 9,9%) que, diz, “permitiu fazer face à quase estagnação da receita de IRS (mais 0,1%). “A receita líquida de IRC, que compara favoravelmente com o crescimento previsto para 2017 de 9,8% (0,9% no OE/2017), resultou fundamentalmente dos pagamentos das autoliquidações relativas ao período de tributação de 2016 (mais 460 milhões de euros) e dos pagamentos por conta (mais 450 milhões de euros)”, explica a DGO, acrescentando que, em dezembro, se observa uma diminuição significativa da variação absoluta de IRC (de 756 milhões de euros para 519 milhões de euros) explicada pelo facto da receita de 2016 ter subjacente o resultado do Programa Especial de Redução do Endividamento ao Estado (PERES).
Adicional de IMI compensa menores contribuições da banca e energia
Para a variação dos outros impostos diretos que somaram 351,4  milhões de euros (mais 16%), em 2017, concorreu o início da arrecadação em 2017 do adicional ao IMI (130 milhões de euros), consignado ao Fundo de Estabilização Financeira da Segurança Social (FEFSS), que
absorveu a menor cobrança registada pela Contribuição Extraordinária sobre o Sector Energético (menos 52,1 milhões de euros) e pela Contribuição sobre o Sector Bancário (menos 34,6 milhões de euros).
Já os impostos indiretos registaram um acréscimo de 6% (contra 5,6% previsto para 2017 e 3,4% no OE/17 ) para 1,4 mil milhões de euros, dos quais 894 milhões referentes ao IVA e 105 milhões ao ISP.
A DGO explica que o aumento da receita dos impostos indiretos foi principalmente explicado pelo crescimento da receita de IVA (mais 5,9%), pese embora o aumento dos reembolsos em 12% tenha atenuado o efeito da subida da receita bruta deste imposto (mais 7,4%). “O relatório da Proposta de Lei de OE/2018 estimava o aumento homólogo da receita líquida do IVA em 2017 em 5%, que acabou por ser superado”, conclui.
A síntese da execução orçamental até dezembro salienta ainda o “comportamento favorável de todos os impostos com exceção do Imposto sobre o Tabaco”, destacando-se a
receita do ISP (3,2%), do ISV (12,7%) e do Imposto do Selo (5,4%). Relativamente ao ISV, o crescimento da receita (mais 85milhões de euros) foi justificado pelo forte incremento que se tem vindo a verificar desde o ano transato nas vendas de veículos automóveis.
Imposto sobre bebidas açucaradas ajuda IABA
Ainda nos impostos indiretos, a DGO destaca o crescimento do imposto sobre o álcool e as bebidas alcoólicas (IABA) em 44% (mais 86 milhões de euros), “fortemente explicado pela tributação das bebidas açucaradas, que teve início em 2017”.
A DGO salienta ainda que para o aumento da cobrança dos outros impostos indiretos “foi determinante” o facto da Contribuição sobre o Audiovisual (151 milhões de euros) ter passado, a partir de fevereiro de 2017, a ser contabilizada como imposto e transferida por despesa do Estado para a RTP, quando anteriormente era arrecadada diretamente e contabilizada como taxa pela RTP.
Mais 732 milhões de euros de reembolsos de IVA e IRS
Em dezembro de 2017 os reembolsos relativos à receita fiscal atingiram o montante acumulado de 9.594 milhões de euros (mais 9,8%). Este crescimento resultou maioritariamente do aumento de reembolsos de IVA (mais 606 milhões de euros) e de IRS (mais 126 milhões de euros). Só estes dois impostos representam 732 milhões de euros.
No primeiro caso com um aumento de 11,9%, diz a DGO,” reflete, maioritariamente, a aceleração da atividade económica a um ritmo superior ao esperado” e, no segundo caso com um aumento de 5,1% que ficou a dever-se “à devolução de rendimentos”.
Já os reembolsos de IRC totalizaram 1.209 milhões de euros, mais 6,6% (cerca de 75 milhões de euros). Os reembolsos do ISP registaram, por seu turno, um aumento de 68,7% para para 35 milhões de euros, mais 14 milhões face ao ano passado.",O Jornal Económico,https://www.tuga.press/42-mil-milhoes-de-euros-nunca-se-cobraram-tantos-impostos-em-portugal-como-em-2017/
Autocarro a hidrogénio fabricado em Portugal chega à Europa em breve,"O autocarro fabricado pela CaetanoBus é uma inovação. Sai de Vila Nova de Gaia, para o “mundo”.
Tem uma autonomia de 400km o sistema de pilha da Toyota.
O H2.City Gold é um elétrico a hidrogénio apresentado há algumas semanas em Bruxelas, na maior feira de transportes do mundo.
É já em 2020 que vão circular os primeiros veículos.
De acordo com a Motor24, “dois dos grandes desafios – tempo de carregamento e autonomia – foram superados para permitir que a empresa de Vila Nova de Gaia pudesse dar finalmente este salto. Graças ao rápido tempo de carregamento, menos de 9 minutos, e à elevada autonomia do veículo, as operações nas cidades não estão comprometidas”.
O veículo tem mais espaço já que os tanques de hidrogénio estão armazenados na parte de cima, no tejadilho. Existem também diferentes tipos de configuração do interior do autocarro das quais se pode escolher.
Em termos de segurança, o H2.City Gold está equipado com sensores de fuga de hidrogénio e sensores de colisão. Em caso de algum acidente de colisão ou de fuga, o sistema corta o fornecimento de hidrogénio tornando assim o autocarro mais seguro.
De acordo com a mesma fonte, “através de uma fita colorida é possível ter perceção visual sobre possíveis fugas, de modo mais fácil e rápido. Tal como o autocarro 100% elétrico, poderá também ser equipado com uma grande variedade de equipamentos de segurança”.
Este é um grande feito para Portugal que já teve também destaque internacional.
Parabéns a quem esteve envolvido neste projeto!",n/a,https://www.tuga.press/autocarro-a-hidrogenio-fabricado-em-portugal-chega-a-europa-em-breve/
Portugal recusou 50 milhões oferecidos pela UE para compra de aviões para combate a incêndios,"Governo alega altos custos de manutenção para fazer borregar a operação ‘low cost’.
A Autoridade Nacional de Proteção Civil (ANPC) não aceitou a disponibilidade dos fundos europeus do Portugal 2020 para a compra de dois aviões pesados anfíbios de combate a incêndios com um “desconto” que podia chegar aos 85%.
O convite esteve aberto até 29 de fevereiro de 2016, mas a ANPC optou por não apresentar qualquer candidatura. Em causa estavam €50 milhões, a fundo perdido, para comparticipar, até 85%, a compra das duas aeronaves.
A decisão do atual Governo causou estranheza na ‘máquina’ que trata dos fundos comunitários, até porque não foi nada fácil, durante o anterior Executivo, convencer a Comissão Europeia a aceitar desembolsar dinheiro para Portugal adquirir aviões.
Ao que o Expresso apurou, Bruxelas evita subsidiar meios de transporte e, no âmbito das negociações do Portugal 2020, Lisboa teve de justificar quão decisivo era este investimento.
Portugal “é o único país do sul da Europa que ainda não dispõe deste tipo de meios”, ficando “dependente do mercado internacional de locação durante a época mais crítica de combate a incêndios florestais, mercado esse cada vez mais exíguo e oneroso”, lê-se no convite do Portugal 2020 que a ANPC recusou.
O gabinete do secretário de Estado da Administração Interna (SEAI), Jorge Gomes, explicou ao Expresso as razões da recusa: “Não basta comprar os aviões. É preciso garantir a operação e manutenção, os voos de treino, os salários dos pilotos e mecânicos, a substituição de peças e os combustíveis, entre outros aspetos”.
O Governo está agora a reavaliar a questão: “A sustentabilidade da operação e manutenção dos meios deve ser um fator decisivo na decisão de aquisição. É essa avaliação que, com transparência e rigor, iremos realizar”.
Segundo o SEAI, atualmente, no período crítico de incêndios florestais, Portugal aluga dois aviões pesados anfíbios, que atuam em parelha. Para garantir a plena operacionalidade desses dois meios (ou seja, para acautelar as paragens para manutenções ou reparações), a empresa fornecedora tem três aviões em permanência. O Estado paga anualmente pela disponibilidade, manutenção e operação destes meios €4,7 milhões. Sem mais despesas ou custos de investimento.
Para o membro do Governo, comprar sai mais caro do que alugar. Primeiro, a aquisição de três aeronaves idênticas às usadas atualmente teria um custo aproximado para o Estado de €140 milhões. Depois, os encargos com a manutenção de dois aviões pesados anfíbios, para um ciclo de vida de 25 anos, foram estimados em €15 milhões.
Além disso, os €50 milhões davam apenas para comprar um avião e não dois. Quando o atual Governo iniciou funções, tomou conhecimento de que o modelo de avião previsto (Canadair) foi descontinuado pelo fabricante, que encerrou a linha de produção. Esse facto limitou, desde logo, a elaboração do estudo económico e financeiro (análise custo-benefício da operação), obrigatório em candidaturas deste montante.
João Almeida, secretário de Estado da Administração Interna do Executivo PSD/CDS, membro do Governo que se empenhou para que Bruxelas abrisse os cordões à bolsa para a compra de aviões pesados, mostrou-se prudente, quando instado a comentar a situação.
“Não conheço a decisão”, disse o deputado do CDS, justificando assim ausência de qualquer juízo sobre a opção do Governo socialista. O ex-secretário de Estado acrescenta desconhecer também qualquer resultado da “análise custo-benefício” da operação, em vias de ser iniciada quando cessou funções governativas. Por outro lado, João Almeida ressalva que a compra dos dois aviões se “enquadrava num projeto mais vasto, em que a Força Aérea participaria no combate aos fogos a partir de 2018”.
Abandonada a compra dos Canadair, o SEAI quer agora inverter as prioridades do Portugal 2020 no que respeita ao combate a incêndios. Jorge Gomes acusa o anterior Governo de ter destinado €50 milhões para meios aéreos e apenas €7 milhões para o restante investimento na proteção civil: “Durante seis anos, não haveria fundos comunitários para requalificar o parque automóvel das forças que integram o dispositivo operacional de combate aos incêndios. Não haveria dinheiro para equipamentos de proteção individual, nem para a reabilitação de quartéis de bombeiros e de outras infraestruturas de proteção e socorro”.",Expresso,https://www.tuga.press/portugal-recusou-50-milhoes-oferecidos-pela-ue-compra-avioes-combate-incendios/
Deputados do PSD foram ao jogo em “trabalho político” ou por “motivo de força maior”,"Um deputado do PSD justificou a ida ao Euro com “motivo de força maior”. Dois deles, incluindo o líder parlamentar, invocaram “trabalho político”. Dois sociais-democratas recusaram justificar a falta.
Houve seis deputados que foram ver a meia-final entre Portugal e País de Gales, em Lyon, e que faltaram ao plenário nessa tarde: cinco do PSD e um, o presidente da Assembleia da República, do PS. Há justificações para todos os gostos e só dois dos deputados, Cristóvão Norte e Emídio Guerreiro, do PSD, entenderam não justificar a falta.
“Não fui em exercício de funções e não vou justificar a falta. Não justifico faltas quando vou a eventos desta natureza“, assume ao Observador o deputado social-democrata Cristóvão Norte. O parlamentar diz que foi ao jogo a título individual e prefere não se pronunciar sobre os colegas de bancada que estiveram no mesmo evento, mas que justificaram as faltas. O mesmo para Emídio Guerreiro — ex-secretário de Estado do Desporto — que foi ao mesmo jogo a convite da Federação Portuguesa de Futebol, mas também assumiu a falta nesse plenário de 6 de julho: “Entendi que não devia justificar”.
No entanto, na mesma bancada, houve quem tivesse entendimento diferente. O próprio líder parlamentar do PSD, Luís Montenegro, justificou a sua falta com “trabalho político” e aceitou uma justificação igual de Luís Campos Ferreira, pois é o presidente da bancada que tem de validar as justificações de faltas dos restantes deputados. Apesar de invocar “trabalho político”, Campos Ferreira chegou a dizer ao Observador tratar-se de um assunto da “vida privada”. No caso do outro deputado (e vice-presidente da bancada social-democrata) que esteve na meia final, Hugo Soares, Montenegro aceitou uma justificação diferente: “Motivo de força maior”.
Hugo Soares justifica o “motivo de força maior” da seguinte forma: “Entendi não pôr trabalho político. Mas estava a representar os portugueses. Sou deputado 24 horas por dia“. O deputado social-democrata e ex-líder da JSD garante que assistiu ao jogos na bancada VIP, ao lado do Presidente da República, Marcelo Rebelo de Sousa. Juridicamente,é considerado “força maior todo o evento imprevisível e insuperável cujos efeitos se produzem independentemente da vontade do operador, designadamente as situações de catástrofe natural, atos de guerra, declarada ou não, de subversão, alteração da ordem pública, bloqueio económico e incêndio”.
De acordo com o Estatuto do Deputado, há váriosmotivos que podem ser invocados para justificar uma falta: “Doença, casamento, maternidade e paternidade, luto, força maior, missão ou trabalho parlamentar e o trabalho político ou do partido a que o deputado pertence, bem como a participação em atividades parlamentares, nos termos do Regimento”. A justificação é apresentada ao líder do grupo parlamentar que tem de dar o primeiro visto ao motivo invocado e que baseia a sua decisão na legislação existente (como o código do trabalho) e na avaliação do caso individual. Depois, a justificação segue para o gabinete do presidente da Assembleia da República que faz a validação final.
Eduardo Ferro Rodrigues aceitou os motivos apresentados. Ele mesmo foi ver o jogo a Lyon, mas em representação da Assembleia da República. O socialista estava “ausente em missão parlamentar“, uma justificação automática, uma vez que só acontece por despacho do presidente da Assembleia da República. No caso de Ferro, é ele mesmo que valida as suas missões, já que é o presidente.
Nesse dia, no plenário debateu-se um projeto do CDS sobre o “sistema de informação para a reforma e o suplemento para a reforma”, que acabou chumbado numa votação que a secretaria-geral da Assembleia da República recorda que “não era uma votação nominal mas por grupo parlamentar”. A informação foi dada em resposta às questões do Observador sobre a discrepância entre o número de presenças apuradas no dia do plenário, durante a verificação do quórum, e aquele que aparece noregisto de presenças desse dia, publicado no site do Parlamento. O primeiro registo, feito com base nas presenças registadas por via eletrónica — quem não tem cartão ou tem um problema eletrónico tem de o comunicar aos serviços — dá conta de 208 presenças. Mas a lista publicada posteriormente dá conta de mais cinco presenças. “Após o momento da votação, se um Deputado não constar da verificação do quórum mas tiver estado presente pode reclamar essa presença junto da Mesa da Assembleia e só será marcada presença manual se a Mesa a confirmar, sendo que o comprovativo resulta assim da própria presença e reclamação do Deputado”, assegura a secretaria-geral.
Nesse dia, faltaram 17 deputados ao plenário, de acordo com os registos Parlamento e o Observador confirmou a razão dos motivos apresentados pelos 15 deputados que entenderam justificar a falta, apenas quatro destas ausências foram motivadas pela deslocação a Lyon.",Observador,https://www.tuga.press/deputados-do-psd-ao-jogo-trabalho-politico-motivo-forca-maior/
